Filter	min/max	Average	original_mutations	total_sites	total_mutations	total_mutation_mut_recall	total_mutation_precision	total_polymorphisms	total_other_sites	percentile_rec_5_95	filter_mutations	filter_mutation_recall	filter_mutation_precision	filter_polymorphisms	filter_other_sites
QUAL	min	515.1006666666667	15	51	15	1.0	0.22727272727272727	8	28	324.293	14	0.9333333333333333	0.4	7	0
child.GQ	min	99.0	15	51	15	1.0	0.22727272727272727	8	28	99.0	15	1.0	0.4	8	1
parent_1.GQ	min	27.6	15	51	15	1.0	0.22727272727272727	8	28	18.3	14	0.9333333333333333	0.4	1	24
parent_2.GQ	min	49.666666666666664	15	51	15	1.0	0.22727272727272727	8	28	33.0	15	1.0	0.4	7	27
child.DP	min	27.133333333333333	15	51	15	1.0	0.22727272727272727	8	28	18.7	14	0.9333333333333333	0.4	8	23
parent_1.DP	min	10.4	15	51	15	1.0	0.22727272727272727	8	28	7.5	14	0.9333333333333333	0.4	1	23
parent_2.DP	min	18.2	15	51	15	1.0	0.22727272727272727	8	28	11.7	14	0.9333333333333333	0.4	8	28
child.DP	max	27.133333333333333	15	51	15	1.0	0.22727272727272727	8	28	35.199999999999996	14	0.9333333333333333	0.4	8	28
parent_1.DP	max	10.4	15	51	15	1.0	0.22727272727272727	8	28	14.0	15	1.0	0.4	8	25
parent_2.DP	max	18.2	15	51	15	1.0	0.22727272727272727	8	28	26.099999999999994	14	0.9333333333333333	0.4	8	27
parent_2.AD	max	0.0	15	51	15	1.0	0.22727272727272727	8	28	0.0	15	1.0	0.4	8	28
child.AB	max	0.53477400428603	15	51	15	1.0	0.22727272727272727	8	28	0.7035087719298244	14	0.9333333333333333	0.4	7	28
child.AB	min	0.53477400428603	15	51	15	1.0	0.22727272727272727	8	28	0.3953846153846154	14	0.9333333333333333	0.4	7	0
QD	min	19.368666666666666	15	51	15	1.0	0.22727272727272727	8	28	12.823	14	0.9333333333333333	0.4	7	0
MQRankSum	min	0.0	15	51	15	1.0	0.22727272727272727	8	28	0.0	15	1.0	0.4	8	28
MQRankSum	max	0.0	15	51	15	1.0	0.22727272727272727	8	28	0.0	15	1.0	0.4	8	28
ReadPosRankSum	min	0.22513333333333332	15	51	15	1.0	0.22727272727272727	8	28	-1.3357999999999999	14	0.9333333333333333	0.4	6	18
ReadPosRankSum	max	0.22513333333333332	15	51	15	1.0	0.22727272727272727	8	28	1.7829999999999997	14	0.9333333333333333	0.4	8	28
FS	max	1.435	15	51	15	1.0	0.22727272727272727	8	28	4.609799999999996	14	0.9333333333333333	0.4	6	22
SOR	max	0.856	15	51	15	1.0	0.22727272727272727	8	28	1.5137999999999998	14	0.9333333333333333	0.4	7	22
p1_reassembled	max	0.6	15	51	15	1.0	0.22727272727272727	8	28	2.6999999999999904	14	0.9333333333333333	0.4	6	28
p2_reassembled	max	1.2666666666666666	15	51	15	1.0	0.22727272727272727	8	28	5.69999999999998	14	0.9333333333333333	0.4	8	28
child_reassembled	max	2.466666666666667	15	51	15	1.0	0.22727272727272727	8	28	6.999999999999989	14	0.9333333333333333	0.4	8	27
