Filter	min/max	Average	original_mutations	total_sites	total_mutations	total_mutation_mut_recall	total_mutation_precision	total_polymorphisms	total_other_sites	percentile_rec_5_95	filter_mutations	filter_mutation_recall	filter_mutation_precision	filter_polymorphisms	filter_other_sites
QUAL	min	467.44437500000004	16	54	16	1.0	0.22857142857142856	9	29	298.2925	15	0.9375	0.38461538461538464	9	0
child.GQ	min	99.0	16	54	16	1.0	0.22857142857142856	9	29	99.0	16	1.0	0.38461538461538464	9	0
parent_1.GQ	min	28.5	16	54	16	1.0	0.22857142857142856	9	29	18.75	15	0.9375	0.38461538461538464	2	23
parent_2.GQ	min	48.1875	16	54	16	1.0	0.22857142857142856	9	29	26.25	15	0.9375	0.38461538461538464	9	29
child.DP	min	27.75	16	54	16	1.0	0.22857142857142856	9	29	23.0	15	0.9375	0.38461538461538464	9	17
parent_1.DP	min	10.75	16	54	16	1.0	0.22857142857142856	9	29	7.75	15	0.9375	0.38461538461538464	1	21
parent_2.DP	min	19.4375	16	54	16	1.0	0.22857142857142856	9	29	14.75	15	0.9375	0.38461538461538464	9	24
child.DP	max	27.75	16	54	16	1.0	0.22857142857142856	9	29	36.25	15	0.9375	0.38461538461538464	7	29
parent_1.DP	max	10.75	16	54	16	1.0	0.22857142857142856	9	29	14.5	15	0.9375	0.38461538461538464	9	29
parent_2.DP	max	19.4375	16	54	16	1.0	0.22857142857142856	9	29	26.75	15	0.9375	0.38461538461538464	8	25
parent_2.AD	max	0.0	16	54	16	1.0	0.22857142857142856	9	29	0.0	16	1.0	0.38461538461538464	9	29
child.AB	max	0.4767208488302238	16	54	16	1.0	0.22857142857142856	9	29	0.60625	15	0.9375	0.38461538461538464	8	29
child.AB	min	0.4767208488302238	16	54	16	1.0	0.22857142857142856	9	29	0.34375	15	0.9375	0.38461538461538464	9	0
QD	min	16.800625	16	54	16	1.0	0.22857142857142856	9	29	11.280000000000001	15	0.9375	0.38461538461538464	9	0
MQRankSum	min	0.0	16	54	16	1.0	0.22857142857142856	9	29	0.0	16	1.0	0.38461538461538464	9	29
MQRankSum	max	0.0	16	54	16	1.0	0.22857142857142856	9	29	0.0	16	1.0	0.38461538461538464	9	29
ReadPosRankSum	min	-0.07325000000000001	16	54	16	1.0	0.22857142857142856	9	29	-1.32225	15	0.9375	0.38461538461538464	8	22
ReadPosRankSum	max	-0.07325000000000001	16	54	16	1.0	0.22857142857142856	9	29	1.5875	15	0.9375	0.38461538461538464	9	28
FS	max	3.0546875	16	54	16	1.0	0.22857142857142856	9	29	10.3275	15	0.9375	0.38461538461538464	9	29
SOR	max	0.8222499999999999	16	54	16	1.0	0.22857142857142856	9	29	1.81225	15	0.9375	0.38461538461538464	8	20
p1_reassembled	max	2.4375	16	54	16	1.0	0.22857142857142856	9	29	18.25	15	0.9375	0.38461538461538464	9	29
p2_reassembled	max	1.625	16	54	16	1.0	0.22857142857142856	9	29	6.5	15	0.9375	0.38461538461538464	8	29
child_reassembled	max	2.5625	16	54	16	1.0	0.22857142857142856	9	29	7.0	15	0.9375	0.38461538461538464	8	29
